iter	Passed	Remaining
0	180	180488
1	182	90969
2	190	63264
3	194	48420
4	202	40310
5	207	34348
6	213	30356
7	223	27669
8	224	24752
9	226	22408
10	228	20500
11	230	18992
12	240	18263
13	244	17229
14	249	16383
15	251	15451
16	252	14618
17	254	13890
18	260	13465
19	264	12937
20	269	12580
21	273	12179
22	275	11712
23	278	11308
24	279	10909
25	283	10637
26	285	10301
27	289	10041
28	293	9828
29	303	9804
30	308	9657
31	313	932	321	9409
33	326	9288
34	335	9255
35	346	9281
36	350	9130
37	352	8925
38	354	8737
39	357	8588
40	361	8447
41	369	8418
42	380	8466
43	386	8396
44	391	8305
45	399	8285
46	409	8304
47	418	8293
48	425	8256
49	430	8179
50	435	8111
51	443	8082
52	449	8029
53	451	7904
54	453	7785
55	457	7705
56	464	7682
57	466	7574
58	469	7494
59	475	7447
60	477	7346
61	481	7279
62	482	7175
63	484	7082
64	490	7062
65	497	7040
66	505	7039
67	507	6954
68	512	6919
69	516	6867
70	521	6825
71	529	6822
72	532	6767
73	573	536	674	544	6717
75	553	6731
76	556	6676
77	562	6649
78	570	6645
79	578	6649
80	583	6620
81	585	6552
82	586	6481
83	583	592	684	584	596	685	607	6453
86	614	6445
87	620	6430
88	627	6422
89	630	6376
90	638	6380
91	646	6384
92	650	6348
93	658	6343
94	662	6310
95	672	6335
96	677	6305
97	681	6275
98	687	6254
99	690	6218
100	692	6165
101	694	6112
102	702	6113
103	706	6084
104	713	6085
105	721	6084
106	726	6067
107	728	6018
108	729	5965
109	737	5964
110	742	5947
111	751	5959
112	757	5944
113	759	5901
114	761	5856
115	765	5831
116	771	5824
117	773	5780
118	777	5756
119	792	5814
120	794	5772
121	796	5732
122	800	5707
123	804	5685
124	808	5662
125	813	5645
126	822	5653
127	824	5613
128	825	5572
129	844	5649
130	851	5647
131	859	5652
132	866	5646
133	872	5639
134	880	5644
135	887	5639
136	898	5659
137	914	5710
138	916	5675
139	920	5654
140	922	5619
141	927	5606
142	931	5580
143	936	5564
144	939	5540
145	947	5544
146	949	5510
147	955	5503
148	957	5468
149	961	5450
150	971	5460
151	976	5446
152	985	5453
153	989	5436
154	994	5424
155	999	5404
156	1004	5396
157	1013	5400
158	1023	5414
159	1028	5401
160	1035	5395
161	1042	5393
162	1043	5359
163	1053	5370
164	1055	5340
165	1061	5332
166	1064	5310
167	1068	5292
168	1072	52716169	1077	52617170	1079	52317171	1086	522172	1090	5214
173	1094	5197
174	1099	5182
175	1106	5181
176	1110	5165
177	1113	5143
178	1116	5118
17179	1125	512180	1125	5093
181	1131	5086
182	1136	5072
183	1140	5055
184	1147	5056
185	1153	5048
186	1160	5043
187	1162	5021
18188	1176	5048
189	1179	50219190	1186	5026
191	1192	50119192	1195	49919193	1200	4987
194	1205	4977
195	1210	49619196	1221	4978
197	1226	4966
198	1229	4948
199	1235	4940
200	1240	4932
201	1244	4917
202	1247	4898
203	1249	48720204	1253	486205	1252	4826
206	1256	4812
207	1259	4796
20208	1268	480209	1268	4773
210	1275	4770
211	1277	4748
21212	1287	475213	1291	4745
214	1295	4728
215	1301	4723
216	1307	4719
217	1316	4723
218	1321	4713
219	1330	4717
220	1337	4715
221	1342	4705
222	1345	4687
223	1353	4688
224	1371	4723
225	1373	4702
226	1382	4707
227	1383	4686
228	1385	4664
229	1393	4665
230	1399	4657
231	1404	4650
232	1414	4655
233	1419	4646
234	1424	4637
235	1431	4634
236	1437	4626
237	1442	4618
23238	1453	46223239	1467	4648
240	1474	4644
241	1482	4643
242	1486	4631
243	1492	4624
244	1497	4615
245	1508	4624
246	1510	4603
247	1511	4583
248	1514	4566
249	1517	45525250	1525	4553
251	1529	4539
252	1535	4533
253	15254	1550254	15255	1559255	15256	1574	4550
257	1583	4553
258	1593	4557
259	1594	4539
260	1601	4535
261	1605	4523
262	1608	4508
263	1617	4509
264	1623	4503
265	1634	4509
266	1638	4498
267	1643	4488
268	1645268	16269	1654	4472
270	1661	4470
271	1667	4463
272	1672	4455
273	1678	4448
274	1682	4436
275	1689	4431
276	1692276	16277	1697277	16278	1705278	17279	1714279	17280	1718280	17281	1720281	1723	4387
282	17283	1731	4366
284	1735	4355
285	1739	4343
286	1745	4336
287	1751	4329
288	1755	4318
289	17289	1750290	17290	1757	4281
291	1759292	1770	4273
293	1779	4272
294	1787	4270
295	1791	4261
296	1798	4256
297	1805	4252
298	1814	4254
299	1817	4240
300	1822	4233
301	1824	4217
302	1833	4217
303	1840	4214
304	1842	4199
305	1851	4199
306	1859	4197
307	1861	4181
308	1869	4181
309	1874	4172
310	1876	4157
311	1883	4152
312	1887	4142
313	1894	4138
314	1900	4133
315	1902	4118
316	1905	4106
317	1912	4101
318	1913	4084
319	1921	4083
320	1926	4076
321	1935	4074
322	1939	4064
323	1948	4065
324	1954	4058
325	1955	4042
326	1957	4027
327	1960	4016
328	1964	4005
329	1968	3997
330	1969	3980
331	1970	3965
332	1974	3954
333	1982	3954
334	1989	3950
335	1994	3942
336	1999	3932
337	2006	3930
338	2019	3937
339	2023	3927
340	2024	3913
341	2029	3903
342	2036	3900
343	2045	3900
344	2054	3900
345	2062	3899
346	2070	3896
347	2077	3891
348	2080	3881
349	2085	3872
350	2090	3864
351	2095	3858
352	2114	3875
353	2116	3861
354	2118	3848
355	2125	3845
356	2129	3836
357	2138	3834
358	2142	3825
359	2144	3812
360	2148	3802
361	2149	3788
362	2152	3776
363	2153	3763
364	2158	3755
365	2166	3753
366	2168	3740
367	2173	3732
368	2183	3733
369	2190	3729
370	2192	3716
371	2193	3703
372	2197	3694
373	2207	3694
374	2209	3682
375	2213	3673
376	2222	3673
377	2227	3665
378	2229	3652
379	2233	3644
380	2242	3643
381	2246	3635
382	2249	3623
383	2252	3613
384	2257	3605
385	2261	3596
386	2262386	22387	2267387	22388	2269388	2274	3571
389	2278	3564
390	2280	3551
391	22392	2295	3545
393	2309393	2309	3551
394	23395	2321	3540
396	2326	3533
397	2338	3537
398	2340	3526
399	2352	3528
400	2356	3519
401	2357	3507
402	2361	3498
403	2367	3493
404	2374	3489
405	2381	3483
406	2384	3474
407	2386	3463
408	2389	3453
409	2395	3447
410	2398	3437
411	2400411	24412	2412	3428
413	2418	3423
414	2421	3413
415	2425	3405
416	2435	3404
417	2438	3395
418	2446	3392
419	2449	3383
420	2456	3377
421	2460	3369
422	2463	3359
423	2466	3350
424	2470424	24425	2474425	2476	3337
426	24427	2485427	24428	2490	3314
429	2493	3305
430	2498430	24431	2500431	24432	2507	3282
433	2513433	25434	2515434	25435	2518435	25436	2524	3252
437	2528437	25438	2535	3239
439	2536439	25440	2538440	25441	2545441	25442	2551442	25443	2555	3200
444	2557444	25445	2563445	2563	3183
446	2566	3175
447	2571	3168
448	2576	3161
449	25450	2587	3149
451	2594	3146
452	2599	3139
453	2606	3134
454	2610	3127
455	2623	3130
456	2625	3119
457	2635	3118
458	2643	3115
459	2651	3112
460	2655	3104
461	2662	3100
462	2664	3090
463	2671	3086
464	2677	3080
465	2683	3074
466	2691	3072
467	2706	3076
468	2708	3066
469	2710	3056
470	2715	3049
471	2716	3039
472	2718	3028
473	2723	3022
474	2727	3014
475	2733	3008
476	2738	3002
477	2746	2998
478	2750	2991
479	2756	2986
480	2761	2979
481	2763	2969
482	2765	2960
483	2770	2953
484	2774	2946
485	2779	2939
486	27486	2778487	27487	2782488	27488	2795	2921
489	2797	2911
490	2802491	28491	2811	2903
492	2817493	2831	2900
494	28494	2829495	28495	2833496	28496	2835497	2846497	28498	2858498	28499	2866499	28500	2870500	2870	2858
501	2881	2858
502	2883	2848
503	2887	2841
504	2893	2835
505	2897	28250506	2901	28250507	2906	281508	2910	2807
509	2917	2802
510	2922	2797
511	2927	2790
51512	2940	2791
513	2942	2781
514	2952	2780
515	2959	2776
516	2960	2766
517	2963	2757
518	2971	2754
519	2975	2746
520	2980	27352521	2984	27352522	2986	272523	2991	2717
524	2997	2712
52525	3013	2715
526	3024	2714
527	3025	2704
528	3032	2699
529	3034	2690
530	3045	2689
531	3052	2684
532	3061	2682
533	3067	2676
534	3073	2671
535	3085	2671
536	3093	2667
537	3100	2662
538	3104	2655
539	3115	2653
540	3116	2644
541	3129	2644
542	3136	2639
543	3142	2634
544	3147	2627
545	3149	2618
546	3155	2613
547	3157	2604
548	3162	2597
549	3163	2588
550	3170	2583
551	3171	2574
552	3180	2570
553	3190	2568
554	3196	2563
555	3200	2555
556	3207	2551
557	3211	2543
558	3217	2538
559	3222	2531
560	3224	2523
561	3232	2518
562	3239	2514
563	3247	2510
564	3248	2501
565	3256	2496
566	3259	2488
567	3263	2481
568	3268	2475
569	3276	2471
570	3280	2464
571	3292	2463
572	3298	2457
573	3306	2453
574	3313	2449
575	3321	2444
576	3328	2439
577	3333	2434
578	3339	2428
579	3346	2423
580	3350	2416
581	3354	2408
582	3358	2402
583	3360	2393
584	3364	2386
585	3372	2382
586	3380	2378
587	3384	2371
588	3393	2367
589	3397	2361
590	3407	2358
591	3411	2351
592	3413	2342
593	3418	2336
594	3422	2329
595	3428	2324
596	3434	2318
597	3441	2313
598	3442	2304
599	3447	2298
600	3453	2292
601	3464	2290
602	3476	2289
603	3497	2293
604	3504	2287
605	3506	2279
606	3518	2277
607	3520	2269
608	3522	2261
609	3532	2258
610	3536	2251
611	3545	2248
612	3547	2239
613	3549	2231
614	3551	2223
615	3557	2217
616	3563	2211
617	3565	2203
618	3571	2198
619	3573	2190
620	3576	2182
621	3580	2176
622	3582	2168
623	3584	2159
624	3586	2151
625	3590	2145
626	3592	2137
627	3596	2130
628	3598	2122
629	3601	2114
630	3607	2109
631	3610	2102
632	3619	2098
633	3625	2092
634	3627	2085
635	3635	2080
636	3637	2072
637	3646	2069
638	3652	2063
639	3654	2055
640	3664	2052
641	3673	2048
642	3679	2042
643	3687	2038
644	3689	2030
645	3694	2024
646	3699	2018
647	3707	2013
648	3713	2008
649	3722	2004
650	3725	1997
651	3730	1991
652	3736	1985
653	3756	1987
654	3758	1979
655	3769	1976
656	3779	1973
657	3788	1969
658	3793	1963
659	3800	1958
660	3805	1951
661	3806	1943
662	3810	1937
663	3814	1930
664	3816	1922
665	3819	1915
666	3822	1908
667	3824	1901
668	3852	1905
669	3859	1901
670	3864	1894
671	3866	1886
672	3873	1882
673	3875	1874
674	3877	1866
675	3881	1860
676	3882	1852
677	3886	1845
678	3898	1843
679	3902	1836
680	3904	1829
681	3910	1823
682	3916	1817
683	3922	1812
684	3928	1806
685	3930	1799
686	3936	1793
687	3940	1786
688	3950	1783
689	3951	1775
690	3955	1768
691	3965	1765
692	3970	1758
693	3972	1751
694	3980	1746
695	3992	1743
696	3997	1737
697	4001	1731
698	4006	1725
699	4014	1720
700	4020	1715
701	4023	1707
702	4024	1700
703	4037	1697
704	4051	1695
705	4057	1689
706	4063	1683
707	4065	1676
708	4069	1670
709	4075	1664
710	4081	1658
711	4089	1654
712	4095	1648
713	4100	1642
714	4101	1635
715	4106	1628
716	4108	1621
717	4115	1616
718	4120	1610
719	4124	1604
720	4126	1596
721	4140	1594
722	4147	1588
723	4157	1584
724	4167	1580
725	4172	1574
726	4184	1571
727	4198	1568
728	4200	1561
729	4209	1557
730	4213	1550
731	4215	1543
732	4222	1538
733	4225	1531
734	4231	1525
735	4236	1519
736	4244	1514
737	4251	1509
738	4259	1504
739	4264	1498
740	4270	1492
741	4274	1486
742	4276	1479
743	4284	1474
744	4289	1468
745	4296	1462
746	4299	1456
747	4306	1450
748	4313	1445
749	4317	1439
750	4319	1432
751	4321	1425
752	4324	1418
753	4331	1413
754	4336	1407
755	4337	1400
756	4347	1395
757	4356	1390
758	4361	1384
759	4364	1378
760	4365	1371
761	4368	1364
762	4374	1358
763	4378	1352
764	4387	1347
765	4393	1342
766	4396	1335
767	4402	1329
768	4404	1322
769	4410	1317
770	4415	1311
771	4423	1306
772	4427	1300
773	4434	1294
774	4439	1288
775	4442	1282
776	4453	1278
777	4455	1271
778	4457	1264
779	4464	1259
780	4468	1252
781	4474	1247
782	4476	1240
783	4484	1235
784	4489	1229
785	4493	1223
786	4500	1217
787	4506	1212
788	4516	1207
789	4523	1202
790	4530	1197
791	4537	1191
792	4541	1185
793	4545	1179
794	4549	1173
795	4558	1168
796	4565	1162
797	4569	1156
798	4574	1150
799	4579	1144
800	4582	1138
801	4593	1134
802	4598	1128
803	4603	1122
804	4612	1117
805	4616	1111
806	4618	1104
807	4622	1098
808	4629	1092
809	4642	1088
810	4646	1082
811	4653	1077
812	4660	1072
813	4664	1065
814	4671	1060
815	4676	1054
816	4678	1047
817	4692	1044
818	4696	1037
819	4705	1032
820	4707	1026
821	4710	1019
822	4721	1015
823	4729	1010
824	4740	1005
825	4746	999
826	4751	993
827	4756	988
828	4763	982
829	4766	976
830	4770	970
831	4776	964
832	4778	957
833	4784	952
834	4792	946
835	4796	940
836	4799	934
837	4806	929
838	4807	922
839	4814	916
840	4817	910
841	4825	905
842	4826	898
843	4831	892
844	4839	887
845	4844	881
846	4849	876
847	4853	869
848	4863	864
849	4866	858
850	4873	853
851	4880	847
852	4889	842
853	4893	836
854	4901	831
855	4906	825
856	4910	819
857	4917	813
858	4919	807
859	4921	801
860	4929	795
861	4932	789
862	4936	783
863	4942	777
864	4946	772
865	4955	766
866	4956	760
867	4967	755
868	4972	749
869	4980	744
870	4985	738
871	4987	732
872	4989	725
873	4994	720
874	5002	714
875	5004	708
876	5009	702
877	5011	696
878	5016	690
879	5019	684
880	5022	678
881	5024	672
882	5029	666
883	5034	660
884	5040	655
885	5058	650
886	5067	645
887	5074	639
888	5078	634
889	5088	628
890	5096	623
891	5103	617
892	5108	612
893	5111	606
894	5115	600
895	5117	594
896	5122	588
897	5128	582
898	5130	576
899	5132	570
900	5136	564
901	5140	558
902	5142	552
903	5149	546
904	5154	541
905	5158	535
906	5165	529
907	5170	523
908	5174	518
909	5177	512
910	5181	506
911	5188	500
912	5190	494
913	5194	488
914	5197	482
915	5198	476
916	5200	470
917	5202	464
918	5205	458
919	5208	452
920	5211	447
921	5214	441
922	5217	435
923	5219	429
924	5220	423
925	5222	417
926	5223	411
927	5225	405
928	5228	399
929	5232	393
930	5234	387
931	5240	382
932	5247	376
933	5254	371
934	5260	365
935	5264	359
936	5271	354
937	5278	348
938	5285	343
939	5288	337
940	5292	331
941	5294	326
942	5297	320
943	5298	314
944	5300	308
945	5302	302
946	5305	296
947	5306	291
948	5308	285
949	5311	279
950	5312	273
951	5314	267
952	5316	262
953	5320	256
954	5326	250
955	5328	245
956	5331	239
957	5335	233
958	5336	228
959	5338	222
960	5340	216
961	5342	211
962	5344	205
963	5346	199
964	5348	193
965	5351	188
966	5352	182
967	5354	177
968	5356	171
969	5358	165
970	5359	160
971	5361	154
972	5362	148
973	5364	143
974	5366	137
975	5368	132
976	5370	126
977	5372	120
978	5374	115
979	5376	109
980	5378	104
981	5380	98
982	5385	93
983	5387	87
984	5389	82
985	5391	76
986	5393	71
987	5395	65
988	5397	60
989	5399	54
990	5401	49
991	5403	43
992	5405	38
993	5407	32
994	5409	27
995	5411	21
996	5413	16
997	5415	10
998	5417	5
999	5419	0
